State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
IL	19	Troy	Dennis	GRE	6817	0.02160	
IL	S	Richard J.	Durbin	D	3615844	0.67841	
IL	S	Steve	Sauerberg	R	1520621	0.28530	
IL	S	Kathy	Cummings	GRE	119135	0.02235	
IL	S	Larry A.	Stafford	LBT	50224	0.00942	
IL	S	Chad N.	Koppie	CPI	24059	0.00451	
IL	S	Patricia Elaine	Beard	W	1	0.00000	
IN	01	Peter J.	Visclosky	D	199954	0.70900	
IN	01	Mark	Leyva	R	76647	0.27178	
IN	01	Jeff	Duensing	LBT	5421	0.01922	
IN	02	Joe	Donnelly	D	187416	0.67091	
IN	02	Luke	Puckett	R	84455	0.30233	
IN	02	Mark	Vogel	LBT	7475	0.02676	
IN	03	Mark Edward	Souder	R	155693	0.55039	
IN	03	Michael A. (Mike)	Montagano	D	112309	0.39702	
IN	03	William R.	Larsen	LBT	14877	0.05259	
IN	04	Steve	Buyer	R	192526	0.59872	
IN	04	Nels	Ackerson	D	129038	0.40128	
IN	05	Dan	Burton	R	234705	0.65549	
IN	05	Mary Etta	Ruley	D	123357	0.34451	
IN	06	Mike	Pence	R	180608	0.63952	
IN	06	Barry A.	Welsh	D	94265	0.33379	
IN	06	George T.	Holland	LBT	7539	0.02670	
IN	07	Andre D.	Carson	D	172650	0.65078	
IN	07	Gabrielle	Campo	R	92645	0.34921	
IN	07	Delbert	Suits	W	4	0.00002	
IN	08	Brad	Ellsworth	D	188693	0.64740	
IN	08	Greg	Goode	R	102769	0.35260	
IN	09	Baron P.	Hill	D	181281	0.57769	
IN	09	Mike	Sodrel	R	120529	0.38409	
IN	09	D. Eric	Schansberg	LBT	11994	0.03822	
IA	01	Bruce	Braley	D	186991	0.64562	
IA	01	David	Hartusch	R	102439	0.35369	
IA	01		Scattered	W	199	0.00069	
IA	02	Dave	Loebsack	D	175218	0.57194	
IA	02	Mariannette	Miller-Meeks	R	118778	0.38771	
IA	02	Wendy	Barth	GRE	6664	0.02175	
IA	02	Brian	White	NP	5437	0.01775	
IA	02		Scattered	W	261	0.00085	
IA	03	Leonard L.	Boswell	D	176904	0.56310	
IA	03	Kim	Schmett	R	132136	0.42060	
IA	03	Frank V.	Forrestal	SWP	4599	0.01464	
IA	03		Scattered	W	521	0.00166	
IA	04	Tom	Latham	R	185458	0.60528	
IA	04	Becky	Greenwald	D	120746	0.39408	
IA	04		Scattered	W	197	0.00064	
IA	05	Steve	King	R	159430	0.59797	
IA	05	Rob	Hubler	D	99601	0.37357	
IA	05	Victor	Vara	I	7406	0.02778	
IA	05		Scattered	W	180	0.00068	
IA	S	Tom	Harkin	D	941665	0.62656	
IA	S	Christopher	Reed	R	560006	0.37261	
IA	S		Scattered	W	1247	0.00083	
KS	01	Jerry	Moran	R	214549	0.81880	
KS	01	James	Bordonaro	D	34771	0.13270	
KS	01	Kathleen M.	Burton	REF	7145	0.02727	
KS	01	Jack	Warner	LBT	5562	0.02123	
KS	02	Lynn	Jenkins	R	155532	0.50611	
KS	02	Nancy E.	Boyda	D	142013	0.46212	
KS	02	Leslie S.	Martin	REF	5080	0.01653	
KS	02	Robert	Garrard	LBT	4683	0.01524	
KS	03	Dennis	Moore	D	202541	0.56440	
KS	03	Nick	Jordan	R	142307	0.39656	
KS	03	Joe	Bellis	LBT	10073	0.02807	
KS	03	Roger D.	Tucker	REF	3937	0.01097	
KS	04	Todd	Tiahrt	R	177617	0.63410	
KS	04	Donald, Jr.	Betts	D	90706	0.32382	
KS	04	Susan G.	Ducey	REF	6441	0.02299	
KS	04	Steven A.	Rosile	LBT	5345	0.01908	
KS	S	Pat	Roberts	R	727121	0.60058	
KS	S	Jim	Slattery	D	441399	0.36458	
KS	S	Randall L.	Hodgkinson	LBT	25727	0.02125	
KS	S	Joseph L.	Martin	REF	16443	0.01358	
KY	01	Edward	Whitfield	R	178107	0.64348	
KY	01	Heather A.	Ryan	D	98674	0.35650	
